Edge,Target,Month,Group,QualitativeCode,,Valence,
Bronx River,Preservation,December,TTh,Environmental Action,,,
Bronx River,Safety,December,TTh,Safety,,,
Bronx River,Technical Skills,December,TTh,Skills,,,
Bronx River,Things in the river,December,TTh,River characteristics,,,
Bronx River,Tides,December,TTh,River characteristics,,,
Activities,Basketball,December,TTh,Activities,,,
Activities,Fishing,December,TTh,Activities,,,
Activities,Fun,December,TTh,Fun,,,
Activities,Games,December,TTh,Activities,,,
Activities,Rowing,December,TTh,Activities,,,
Activities,Science,December,TTh,Activities,,,
Activities,Swimming,December,TTh,Activities,,,
Activities,Teaching_Learning,December,TTh,Activities,,,
Activities,Water quality,December,TTh,Water Quality,,,
Swimming,YMCA,December,TTh,Places,,,
YMCA,Coach Will,December,TTh,People,,,
Water quality,Dissolved Oxygen,December,TTh,Water Quality,,,
Water quality,Nitrates,December,TTh,Water Quality,,,
Water quality,pH,December,TTh,Water Quality,,,
Water quality,Salinity,December,TTh,Water Quality,,,
Water quality,Turbidity,December,TTh,Water Quality,,,
Animals,Birds,December,TTh,Animals,,,
Animals,Fish,December,TTh,Animals,,,
Birds,Cormorants,December,TTh,Animals,,,
Birds,Ducks,December,TTh,Animals,,,
Birds,Egrets,December,TTh,Animals,,,
Bronx,BEC,December,TTh,Unknown,,,
Bronx,Chopped cheese,December,TTh,Food,,,
Bronx,Hunts Point,December,TTh,Places,,,
Bronx,RTB,December,TTh,RTB,,,
Bronx,SM,December,TTh,Unknown,,,
Bronx,Grant,December,TTh,Environmental Action,,,
RTB,Family,December,TTh,Family,,,
RTB,No purple or dark colors,December,TTh,Fun,,,
RTB,Weeklong,December,TTh,Activities,,,
Family,People,December,TTh,People,,,
People,Staff,December,TTh,People,,,
People,Friends,December,TTh,People,,,
People,Student,December,TTh,People,,,
Staff,Learning,December,TTh,Activities,,,
Staff,Teaching,December,TTh,Activities,,,
Weeklong,Overnight,December,TTh,Activities,,,
Overnight,Dice,December,TTh,Activities,,,
Overnight,Games,December,TTh,Activities,,,
Overnight,Lion King,December,TTh,Activities,,,
Dice,Student beat Student,December,TTh,Activities,,,
Places,Hunts point,December,TTh,Places,,,
Places,Soundview,December,TTh,Places,,,
Places,YMCA,December,TTh,Places,,,
Soundview,Phragmites,December,TTh,Plants,,,
YMCA,Coach Will,December,TTh,People,,,
Preservation,Oysters,December,TTh,Animals,,,
Presevation,Planting trees,December,TTh,Environmental Action,,,
Preservation,Plants,December,TTh,Environmental Action,,,
Preservation,Removing invasives,December,TTh,Environmental Action,,,
Planting trees,Deciduous,December,TTh,Environmental Action,,,
Planting trees,Evergreen,December,TTh,Environmental Action,,,
Plants,Opposite,December,TTh,Plants,,,
Plants,Alternate,December,TTh,Plants,,,
Plants,Photosynthesis,December,TTh,Plants,,,
Safety,Boat Bag,December,TTh,Safety,,,
Safety,PFDs,December,TTh,Safety,,,
Technical Skills,Job Skills,December,TTh,Skills,,,
Technical Skills,ESP,December,TTh,Skills,,,
Technical Skills,Water Quality,December,TTh,Skills,,,
ESP,LNT,December,TTh,Skills,,,
ESP,Knots,December,TTh,Skills,,,
Knots,Bowline,December,TTh,Skills,,,
Things in the river,Dock,December,TTh,River characteristics,,,
Things in the river,Dirt,December,TTh,River characteristics,,,
Things in the river,Boat,December,TTh,River characteristics,,,
Things in the river,Mudlats,December,TTh,River characteristics,,,
Things in the river,Pollution,December,TTh,River characteristics,,,
Mudflats,Uggs,December,TTh,River characteristics,,,
Boat,Oars,December,TTh,Boat,,,
Boat,Bowline,December,TTh,Boat,,,
Tides,High,December,TTh,River characteristics,,,
Tides,Low,December,TTh,River characteristics,,,
Low tide,Stuck,December,TTh,River characteristics,,,
Low tide,Staff Member,December,TTh,River characteristics,,,
Low tide,Uggs,December,TTh,River characteristics,,,
